toi,pl_rade,pl_orbper,pl_trandurh,pl_trandeplim
1273.01,9.34848,4.6313014,1.435,0
1274.01,9.38964,19.3203478,4.215,0
1275.01,4.2917226,11.3246821,5.9704136,0
1276.01,1.3468319,6.261169,2.0369188,0
1277.02,2.72638,14.8559691,3.711,0
1278.01,8.6976173,14.4751062,1.6182484,0
1279.01,3.2264735,9.6141636,3.4271882,0
128.01,2.3216,4.9404714,1.954,0
1280.01,3.289074,9.6926392,3.0182304,0
1281.01,2.47201,6.390888,3.766,0
1282.01,17.1331258,0.9689927,2.5496309,0
1283.01,11.8729,10.338505,4.242,0
1284.01,2.558112,1.283251,2.012261,0
1285.01,1.866263,1.2284388,1.9190118,0
1286.01,10.4852,0.6166953,0.712,0
1287.01,2.4070295,9.6001126,4.9882857,0
1288.01,4.94551,2.6998294,2.208,0
1289.01,2.2014886,0.581322,1.3261177,0
129.01,5.9162923,0.980972,0.5405036,0
1290.01,2.25345,5.3987355,3.127,0
1291.01,5.05452,7.16199,7.668,0
1292.01,17.0442,1.4412175,1.666,0
1293.01,3.76716,1.6849938,0.916,0
1294.01,9.43435,3.9152737,2.562,0
1295.01,14.9685779,3.1968838,3.7533697,0
1296.01,14.5727196,3.9443668,4.8652146,0
1297.01,14.8838,3.93034,3.667,0
1298.01,9.8153513,4.5371361,4.042155,0
130.01,2.2963233,14.3392144,4.6064739,0
1300.01,18.1267,2.8716983,4.668,0
1301.01,2.5856853,6.0964074,2.3632965,0
1302.01,14.8589,5.6666168,3.604,0
1303.01,18.4825,1.56029,2.751,0
1304.01,6.0401,8.8735214,4.059,0
1306.01,23.7824,7.6869063,4.652,0
1308.01,22.2329,1.3797091,2.352,0
131.01,16.0959,6.2407826,1.513,0
1310.01,11.8862,2.6796,2.771,0
1311.01,26.5174686,6.1406417,2.3525428,0
1312.01,12.8076,11.0765063,4.692,0
1313.01,8.84136,0.6193401,1.514,0
1314.01,18.2671,2.6400663,3.368,0
1315.01,18.687,2.5778717,3.472,0
1316.01,8.57193,3.80509,3.347,0
1317.01,24.2511,2.99041,3.952,0
1319.01,2.89678,0.890967,1.784,0
132.01,3.6396725,2.1096805,2.1344043,0
1321.01,20.5525,1.19888,1.558,0
1323.01,6.42307,2.03905,2.26,0
1324.01,9.70968,2.9424142,4.073,0
1325.01,3.31116,1.0793011,2.196,0
1327.01,27.6744,3.9392211,2.379,0
1328.01,6.47219,4.0157492,2.706,0
1329.01,7.3626,2.01976,3.394,0
133.01,1.9226211,8.1995368,2.1168277,0
1331.01,12.1711,2.65646,2.475,0
1333.01,15.2105,4.7201912,4.416,0
1334.01,23.4514,4.03349,2.684,0
1335.01,14.3988,3.3295394,2.77,0
1336.01,13.8394,3.8615978,1.678,0
1337.01,21.2012,3.3448312,3.322,0
1338.01,7.8498891,95.174,11.6316864,0
1339.01,3.20594,8.8803281,2.71,0
1339.02,3.1455035,28.580474,4.5139977,0
1339.03,3.2843583,38.3511223,5.9120193,0
134.01,1.4616853,1.4015183,1.1583061,0
1340.01,5.3744721,8.5874668,5.1458902,0
1341.01,48.9878,6.4474918,2.643,0
1343.01,5.34279,3.4040139,4.837,0
1344.01,25.7481,13.7432169,2.73,0
1345.01,16.9325,8.47134,6.989,0
1346.01,2.7049797,5.5025577,3.1711008,0
1346.02,2.5235818,1.7622537,0.8779711,0
1347.01,1.7536544,0.8474218,0.8758764,0
1347.02,1.6177405,4.8420438,2.4105648,0
1348.01,1.83828,2.14056,2.029,0
1349.01,2.7546,12.71672,2.529,0
135.01,17.0952,4.1269046,4.405,0
1350.01,17.4013,5.5402372,7.713,0
1352.01,13.3622,5.2958813,2.882,0
1353.01,9.91393,4.4350025,2.252,0
1354.01,9.00484,1.4287976,2.93,0
1355.01,15.2590586,2.1702725,2.1417853,0
1357.01,2.96097,0.33759,1.351,0
1358.01,5.10182,1.67346,2.54,0
1359.01,13.4294,2.5152549,2.386,0
136.01,1.3543237,0.4628844,0.5588219,0
1360.01,5.18865,0.70902,2.49,0
1361.01,10.2256,2.237462,2.991,0
1362.01,17.5081,1.9173816,1.466,0
1363.01,13.5133,9.6926509,2.819,0
1364.01,9.49405,1.7753644,2.034,0
1365.01,21.4433,1.8286961,3.37,0
1366.01,26.5090911,14.8626982,3.3250502,0
1367.01,5.41738,2.0881134,2.307,0
1368.01,2.95064,1.25562,2.304,0
1369.01,6.14418,7.6047417,5.23,0
137.01,1.71137,4.8173797,1.323,0
1370.01,11.2446,5.2651271,2.463,0
1371.01,36.2553,5.0095595,3.353,0
1372.01,8.22262,6.1600888,1.67,0
1373.01,15.4014,3.8529998,3.225,0
1374.01,10.3628,1.06884,2.512,0
1375.01,5.78741,5.4561177,3.1,0
1376.01,4.42263,1.7380504,1.496,0
1378.01,42.6903,5.7785318,2.348,0
1379.01,30.6957,1132.0244686,4.119,0
138.01,7.84585,6.1982658,1.912,0
1380.01,8.4993,1.41072,2.623,0
1381.01,28.2675,6.5601782,4.058,0
1382.01,10.8884,0.44482,1.058,0
1383.01,10.8699,1.532703,2.698,0
1384.01,4.89712,0.7131492,2.428,0
1386.01,4.31235,25.8386422,5.209,0
1387.01,3.89595,0.78381,1.443,0
1388.01,14.5331,4.4652986,2.502,0
139.01,2.3337648,11.0708575,2.1937617,0
1390.01,12.8098,2.6380089,3.55,0
1391.01,4.98036,2.7260173,2.703,0
1392.01,8.48351,2.86876,2.422,0
1393.01,4.22851,0.5590256,0.688,0
1394.01,4.47387,2.958148,3.769,0
1395.01,3.41784,0.98736,1.464,0
1396.01,6.35126,3.99307,4.783,0
1397.01,24.132,8.6795072,3.628,0
